Si,Cu,Mn,Mg,Cr,Zn,Ti,Ni,Ag,Al
0.0,4.6,0.35,0.35,0.0,0.0,2.5,0.0,0.7,91.5
0.0,0.0,0.0,0.58,0.5,6.0,0.2,0.0,0.0,92.72
0.0,4.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,92.5
0.0,8.0,0.5,6.0,0.0,0.0,0.0,0.5,0.0,85.0
0.0,4.6,0.35,0.25,0.0,0.0,0.22,0.0,0.0,94.58
0.0,0.5,0.0,0.7,0.0,6.5,0.0,0.0,0.0,92.3
1.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4
0.0,4.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,92.5
3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
2.0,7.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,87.3
0.0,0.0,0.0,0.6,0.4,7.0,0.15,0.0,0.0,91.85
1.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4
0.0,0.0,0.0,0.6,0.4,7.0,0.15,0.0,0.0,91.85
0.0,4.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,92.5
0.0,0.0,0.0,0.6,0.4,7.0,0.15,0.0,0.0,91.85
1.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4
0.0,4.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,92.5
0.0,0.0,0.0,0.58,0.5,6.0,0.2,0.0,0.0,92.72
0.0,5.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,94.37
0.0,4.6,0.35,0.35,0.0,0.0,2.5,0.0,0.7,91.5
1.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4
0.0,10.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,89.75
0.0,0.7,0.0,0.35,0.0,7.5,0.0,0.0,0.0,91.45
